,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_Scaled,Fare_Scaled
29,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
30,0,0,0,1,0,1,0,0,0,1,1,0,0,0.7599896072734047,-0.09027201697708476
31,1,1,0,0,1,1,0,0,1,0,1,0,0,0.4742836568829718,2.301728820789
32,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867294,-0.49237782784290063
33,0,0,0,1,0,0,0,1,0,1,0,1,0,2.6686347124274907,-0.43700743807979686
34,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.12092351818232715,1.0060617003323709
35,0,1,0,1,0,0,0,1,0,1,1,0,0,0.9068084615160267,0.39858208016340624
36,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.4970508961965141,-0.5028639729296732
37,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4863374216869257
38,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.855017789395437,-0.2859972841804228
39,1,1,0,1,0,1,0,0,1,0,0,0,1,-1.1486554978806809,-0.42207354059350805
40,0,1,0,1,0,0,0,1,1,0,0,0,1,0.7599896072734047,-0.4576454924460446
41,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.19433294530363815,-0.22559322262067316
42,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
43,1,1,2,1,0,1,0,0,1,0,0,1,0,-1.956159196215102,0.18876253192945994
44,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.781608362274126,-0.48977642625839407
45,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071162,-0.4863374216869257
46,0,1,0,1,0,0,1,0,0,1,0,0,1,0.25559235833429905,-0.3363340021468808
47,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867294,-0.49237782784290063
48,0,2,0,1,0,1,0,0,0,1,0,0,1,-0.4542255636316674,-0.21191774308354583
49,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.855017789395437,-0.29002422161773944
50,0,4,1,1,0,0,0,1,0,1,0,0,1,-1.662521487729858,0.1506737441786005
51,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4913710934835715
52,1,1,0,0,1,1,0,0,1,0,1,0,0,1.4206744513652036,0.8964967865378598
53,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.12491978668775715
54,0,0,1,0,1,1,0,0,0,1,1,0,0,2.5952252853061797,0.5995101505357573
55,1,0,0,0,1,0,0,1,0,1,1,0,0,1.0583864751365744,0.06635974158478332
56,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.634789508031504,-0.43700743807979686
57,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.08421880462167165,-0.5028639729296732
58,1,1,2,1,0,0,0,1,1,0,0,1,0,-1.8093403419724798,-0.08968408411123653
59,0,5,2,1,0,0,0,1,0,1,0,0,1,-1.368883779244614,0.2958951755118318
60,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.5613800809101931,-0.5028639729296732
61,1,0,0,0,1,0,0,0,1,0,1,0,0,0.6131707530307827,0.962353321387736
62,0,1,0,0,1,0,0,1,0,1,1,0,0,1.1270367428799597,1.0323213593611125
63,0,3,2,1,0,0,0,1,0,1,0,0,1,-1.8827497690937909,-0.08666388103324908
64,0,0,0,1,0,1,0,0,0,1,1,0,0,0.8480874149117418,-0.09027201697708476
65,1,1,1,1,0,1,0,0,0,1,0,0,1,-0.921092443692182,-0.3414522396297103
66,1,0,0,0,1,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.43700743807979686
67,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.4841568350646187
68,1,4,2,1,0,0,0,1,1,0,0,0,1,-0.928427216516748,-0.4888542575852486
69,0,2,0,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.47400492578514347
70,0,0,0,1,0,0,0,1,0,1,0,1,0,0.1727141903029168,-0.43700743807979686
71,0,5,2,1,0,0,0,1,1,0,0,0,1,-1.001836643638059,0.2958951755118318
72,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,0.8314778546749452
73,0,1,0,1,0,1,0,0,0,1,0,0,1,-0.26774237242494914,-0.3573908580066095
74,1,0,0,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,0.48910360681684706
75,0,0,0,0,1,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.494391296561559
76,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
77,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071162,-0.4863374216869257
78,1,0,2,1,0,0,0,1,0,1,0,1,0,-2.1154576530683467,-0.06451572512800753
79,1,0,0,1,0,0,0,1,1,0,0,0,1,0.025895336060294823,-0.397241430886295
80,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.46720946885967163
81,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.45714212526638004
82,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.46428676201931013,-0.49162277707340374
83,0,0,0,1,0,0,0,1,0,1,1,0,0,-0.12092351818232715,0.29992211294914856
84,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.928427216516748,-0.43700743807979686
85,1,3,0,1,0,0,0,1,1,0,0,0,1,0.24612361742422778,-0.32928686163157667
86,0,1,3,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,0.04370821849987721
87,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071162,-0.4863374216869257
88,1,3,2,0,1,0,0,1,1,0,1,0,0,-0.4879706537888821,4.647001076532463
89,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.4863374216869257
90,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.4863374216869257
91,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.4902797934380587
92,0,1,0,0,1,0,0,1,0,1,1,0,0,1.2004461700012707,0.5833178351003071
93,0,1,2,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.23415046467497105
94,0,0,0,1,0,0,0,1,0,1,0,0,1,2.1547687225783134,-0.5024451714361923
95,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071162,-0.4863374216869257
96,0,0,0,0,1,1,0,0,0,1,1,0,0,3.0356818480340455,0.0493298231623713
97,1,0,1,0,1,1,0,0,0,1,1,0,0,-0.4879706537888821,0.6272778976347743
98,1,0,1,1,0,0,0,1,1,0,0,1,0,0.31953304454553877,-0.18532384824750675
99,0,1,0,1,0,0,0,1,0,1,0,1,0,0.31953304454553877,-0.12491978668775715
100,0,0,0,1,0,0,0,1,1,0,0,0,1,-0.12092351818232715,-0.4894421904510968
101,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
102,0,0,1,0,1,0,0,1,0,1,1,0,0,-0.634789508031504,0.907737982394129
103,0,0,0,1,0,0,0,1,0,1,0,0,1,0.24612361742422778,-0.4741720436887921
104,0,2,0,1,0,0,0,1,0,1,0,0,1,0.5397613259094718,-0.4888542575852486
105,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.4894421904510968
106,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.634789508031504,-0.494391296561559
107,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.15649374316049675,-0.4918744606632361
108,0,0,0,1,0,0,0,1,0,1,0,0,1,0.6131707530307827,-0.4894421904510968
109,1,1,0,1,0,0,1,0,1,0,0,0,1,0.2865851251452707,-0.1621689579829361
110,0,0,0,0,1,0,0,1,0,1,1,0,0,1.2738555971225816,0.39858208016340624
111,0,1,0,1,0,1,0,0,1,0,0,0,1,-1.1119507843200256,-0.3573908580066095
112,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4863374216869257
113,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.7081989351528151,-0.4505983519307405
114,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.928427216516748,-0.3573083057891445
115,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4888542575852486
116,0,0,0,1,0,0,1,0,0,1,0,0,1,2.99897713447339,-0.49237782784290063
117,0,1,0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.22559322262067316
118,0,0,1,0,1,1,0,0,0,1,1,0,0,-0.4145612266675711,4.335332226633905
119,0,4,2,1,0,0,0,1,1,0,0,0,1,-2.029568623336413,-0.01870931177853076
120,0,2,0,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,0.8314778546749452
121,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071162,-0.4863374216869257
122,0,1,0,1,0,1,0,0,0,1,0,1,0,0.2094189038635723,-0.04295550208861426
123,1,0,0,0,1,0,0,1,1,0,0,1,0,0.2094189038635723,-0.3866707201133388
124,0,0,1,0,1,0,0,1,0,1,1,0,0,1.7877215869717586,0.907737982394129
125,1,1,0,1,0,1,0,0,0,1,0,0,1,-1.295474352123303,-0.42207354059350805
126,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867294,-0.49237782784290063
127,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.5046257580584992
128,1,1,1,0,1,1,0,0,1,0,0,0,1,-0.2836445439214776,-0.19824427701513722
129,0,0,0,1,0,0,0,1,0,1,0,0,1,1.1270367428799597,-0.5079822104125026
130,0,0,0,1,0,1,0,0,0,1,0,0,1,0.24612361742422778,-0.4894421904510968
131,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.5064721088735089
132,0,1,0,1,0,0,0,1,1,0,0,0,1,1.2738555971225816,-0.35646868933346404
133,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.12491978668775715
134,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.3411517995462601,-0.3866707201133388
135,0,0,0,1,0,1,0,0,0,1,0,1,0,-0.4879706537888821,-0.3454791770670269
136,1,0,2,0,1,0,0,1,1,0,1,0,0,-0.781608362274126,-0.11921562980779811
137,0,1,0,0,1,0,0,1,0,1,1,0,0,0.5397613259094718,0.4207302360686478
138,0,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.4628462821463391
139,0,0,0,0,1,1,0,0,0,1,1,0,0,-0.4145612266675711,0.9462455716384695
140,0,0,2,1,0,1,0,0,1,0,0,0,1,-0.31589192154643,-0.3414522396297103
141,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.5613800809101931,-0.49237782784290063
142,1,1,0,1,0,0,0,1,1,0,0,0,1,-0.4145612266675711,-0.32928686163157667
143,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.781608362274126,-0.5125125150294839
144,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.855017789395437,-0.41687275089321363
145,0,1,1,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,0.09152810056801232
146,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.19433294530363815,-0.49145565916975514
147,0,2,2,1,0,0,0,1,1,0,0,0,1,-1.5157026334872359,0.04370821849987721
148,0,0,2,0,1,0,0,1,0,1,0,1,0,0.5030566123488163,-0.12491978668775715
149,0,0,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160267,-0.3866707201133388
150,0,0,0,1,0,0,0,1,0,1,0,1,0,1.5674933056078255,-0.39623469652696586
151,1,1,0,0,1,0,0,1,1,0,1,0,0,-0.5613800809101931,0.6925485130875209
152,0,0,0,1,0,0,0,1,0,1,0,0,1,1.897835727653725,-0.4863374216869257
153,0,0,2,1,0,0,0,1,0,1,0,0,1,0.7966943208340602,-0.35646868933346404
154,0,0,0,1,0,0,0,1,0,1,0,0,1,0.009950524380383931,-0.5011867534870308
155,0,0,1,1,0,1,0,0,0,1,1,0,0,1.5674933056078255,0.5874293382238074
156,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.001836643638059,-0.49271407711891657
157,0,0,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.4863374216869257
158,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3027290599264969,-0.47400492578514347
159,0,8,2,1,0,0,0,1,0,1,0,0,1,-1.3784367714061623,0.7519458402879414
160,0,0,1,1,0,0,0,1,0,1,0,0,1,1.0536273157586487,-0.32425318983493084
161,1,0,0,1,0,0,0,1,1,0,0,1,0,0.7599896072734047,-0.331300330350235
162,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.4918744606632361
163,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.928427216516748,-0.47400492578514347
164,0,4,1,1,0,0,0,1,0,1,0,0,1,-2.102978050457724,0.1506737441786005
165,1,0,2,1,0,0,0,1,0,1,0,0,1,-1.5157026334872359,-0.2351571990343002
166,1,0,1,0,1,0,0,1,1,0,1,0,0,-0.265401922582407,0.4589861417231558
167,0,1,4,1,0,0,0,1,1,0,0,0,1,1.1270367428799597,-0.08666388103324908
168,0,0,0,1,0,0,0,1,0,1,1,0,0,1.4613635052789542,-0.12642988822675086
169,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,0.48910360681684706
170,0,0,0,0,1,0,0,1,0,1,1,0,0,2.3015875768209355,0.026090367211616904
171,0,4,1,1,0,0,1,0,0,1,0,0,1,-1.8827497690937909,-0.06199888922968463
172,1,1,1,1,0,0,0,1,1,0,0,0,1,-2.102978050457724,-0.4242561406845337
173,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4888542575852486
174,0,0,0,0,1,1,0,0,0,1,1,0,0,1.9345404412143805,-0.030371322596999754
175,0,1,1,1,0,0,0,1,0,1,0,0,1,-0.855017789395437,-0.4902797934380587
176,0,3,1,1,0,0,0,1,0,1,0,0,1,-1.6397978167207696,-0.13565761536436197
177,0,0,0,0,1,1,0,0,1,0,1,0,0,1.4940838784865147,-0.07030444769415023
178,0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294823,-0.3866707201133388
179,0,0,0,1,0,0,0,1,0,1,0,0,1,0.46635189878816075,-0.6484216535389205
180,0,8,2,1,0,0,0,1,1,0,0,0,1,-1.3784367714061623,0.7519458402879414
181,0,0,0,1,0,1,0,0,0,1,0,1,0,0.15208177167307113,-0.34539461138084326
182,0,4,2,1,0,0,0,1,0,1,0,0,1,-1.5157026334872359,-0.016444159470040135
183,1,2,1,0,1,0,0,1,0,1,0,1,0,-2.102978050457724,0.13683114673782454
184,1,0,2,1,0,0,0,1,1,0,0,0,1,-1.8827497690937909,-0.20495516825442542
185,0,0,0,0,1,0,0,1,0,1,1,0,0,1.2187815131140511,0.3583127057902398
186,1,1,0,1,0,0,1,0,1,0,0,0,1,0.25559235833429905,-0.3363340021468808
187,1,0,0,1,0,0,0,1,0,1,1,0,0,1.1270367428799597,-0.11384570873513637
188,0,1,1,1,0,0,1,0,0,1,0,0,1,0.7599896072734047,-0.3363340021468808
189,0,0,0,1,0,0,0,1,0,1,0,0,1,0.46635189878816075,-0.4894421904510968
190,1,0,0,1,0,0,0,1,1,0,0,1,0,0.1727141903029168,-0.3866707201133388
191,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.3866707201133388
192,1,1,0,1,0,0,0,1,1,0,0,0,1,-0.781608362274126,-0.4902797934380587
193,1,1,1,0,1,0,0,1,0,1,0,1,0,-1.956159196215102,-0.12491978668775715
194,1,0,0,0,1,1,0,0,1,0,1,0,0,1.0536273157586487,-0.09027201697708476
195,1,0,0,0,1,1,0,0,1,0,1,0,0,2.0813592954570024,2.301728820789
196,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867294,-0.49237782784290063
197,0,0,1,1,0,0,0,1,0,1,0,0,1,0.9068084615160267,-0.47920571548543794
198,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867294,-0.49237782784290063
199,0,0,0,1,0,0,0,1,1,0,0,1,0,-0.4145612266675711,-0.3866707201133388
200,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.45714212526638004
201,0,8,2,1,0,0,0,1,0,1,0,0,1,-1.3784367714061623,0.7519458402879414
202,0,0,0,1,0,0,0,1,0,1,0,0,1,0.31953304454553877,-0.5176307525123133
203,0,0,0,1,0,1,0,0,0,1,0,0,1,1.1637414564406152,-0.5029485386158568
204,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.855017789395437,-0.4863374216869257
205,0,0,1,0,1,0,0,1,1,0,0,0,1,-2.029568623336413,-0.43776248884929375
206,0,1,0,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,-0.32928686163157667
207,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.26774237242494914,-0.2701412180209885
208,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.001836643638059,-0.49237782784290063
209,1,0,0,0,1,1,0,0,0,1,1,0,0,0.7599896072734047,-0.024246350754841113
210,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.5064721088735089
211,1,0,0,1,0,0,0,1,1,0,0,1,0,0.39294247166684976,-0.22559322262067316
212,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5024451714361923
213,0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294823,-0.3866707201133388
214,0,1,0,1,0,0,1,0,0,1,0,0,1,0.10616339498276789,-0.49237782784290063
215,1,1,0,0,1,1,0,0,1,0,1,0,0,0.09930476318160582,1.6323350375212924
216,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.19433294530363815,-0.4888542575852486
217,0,1,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160267,-0.10478509950117394
218,1,0,0,0,1,1,0,0,1,0,1,0,0,0.1727141903029168,0.8876878608937296
219,0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294823,-0.43700743807979686
220,1,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.4863374216869257
221,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.19433294530363815,-0.3866707201133388
222,0,0,0,1,0,0,0,1,0,1,0,0,1,1.5674933056078255,-0.4863374216869257
223,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
224,1,1,0,0,1,0,0,1,0,1,1,0,0,0.6131707530307827,1.163700193253568
225,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4601623283443675
226,1,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.43700743807979686
227,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6714942215921595,-0.5024451714361923
228,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.855017789395437,-0.3866707201133388
229,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.6397978167207696,-0.13565761536436197
230,1,1,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,1.0323213593611125
231,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.4918744606632361
232,0,0,0,1,0,0,0,1,0,1,0,1,0,2.1547687225783134,-0.3766033765200472
233,1,4,2,1,0,0,0,1,1,0,0,0,1,-1.8093403419724798,-0.016444159470040135
234,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.4145612266675711,-0.43700743807979686
235,0,0,0,1,0,0,0,1,1,0,0,0,1,0.10726120898327925,-0.49640476528021726
236,0,1,0,1,0,0,0,1,0,1,0,1,0,1.0536273157586487,-0.12491978668775715
237,1,0,2,1,0,0,0,1,1,0,0,1,0,-1.589112060608547,-0.11988611489111134
238,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.43700743807979686
239,0,0,0,1,0,0,0,1,0,1,0,1,0,0.24612361742422778,-0.4012683683236117
240,0,1,0,1,0,1,0,0,1,0,0,0,1,-0.6494600788173316,-0.3573908580066095
241,1,1,0,1,0,0,1,0,1,0,0,0,1,0.25559235833429905,-0.3363340021468808
242,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.43700743807979686
243,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5049620073345151
244,0,0,0,1,0,1,0,0,0,1,0,0,1,0.025895336060294823,-0.5029485386158568
245,0,2,0,0,1,0,1,0,0,1,1,0,0,1.0536273157586487,1.163700193253568
246,0,0,0,1,0,0,0,1,1,0,0,0,1,-0.3411517995462601,-0.4918744606632361
247,1,0,2,1,0,0,0,1,1,0,0,1,0,-0.4145612266675711,-0.35646868933346404
248,1,1,1,0,1,0,0,1,0,1,1,0,0,0.5397613259094718,0.40974072380221066
249,0,1,0,1,0,0,0,1,0,1,0,1,0,1.7877215869717586,-0.12491978668775715
250,0,0,0,1,0,0,0,1,0,1,0,0,1,0.009950524380383931,-0.5024451714361923
251,0,1,1,0,1,0,0,1,1,0,0,0,1,-0.047514091061016166,-0.43776248884929375
252,0,0,0,0,1,0,0,1,0,1,1,0,0,2.3749970039422466,-0.11384570873513637
253,0,1,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.32425318983493084
254,0,0,2,1,0,0,0,1,1,0,0,0,1,0.8333990343947157,-0.2414492887801075
255,1,0,2,1,0,1,0,0,1,0,0,0,1,-0.047514091061016166,-0.3414522396297103
256,1,0,0,1,0,1,0,0,1,0,1,0,0,0.3650678634827883,0.9462455716384695
257,1,0,0,0,1,0,0,1,1,0,1,0,0,0.025895336060294823,1.093228788100527
258,1,0,0,1,0,1,0,0,1,0,1,0,0,0.39294247166684976,9.667166525013505
259,1,0,1,1,0,0,0,1,1,0,0,1,0,1.4940838784865147,-0.12491978668775715
260,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867294,-0.49237782784290063
261,1,4,2,1,0,0,0,1,0,1,0,0,1,-1.956159196215102,-0.016444159470040135
262,0,1,1,0,1,0,0,1,0,1,1,0,0,1.6409027327291366,0.955306180872432
263,0,0,0,0,1,0,0,1,0,1,1,0,0,0.7599896072734047,-0.6484216535389205
264,0,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867294,-0.49237782784290063
265,0,0,0,1,0,0,0,1,0,1,0,1,0,0.46635189878816075,-0.43700743807979686
266,0,4,1,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,0.1506737441786005
267,1,1,0,1,0,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.4918744606632361
268,1,0,1,0,1,0,0,1,1,0,1,0,0,2.0813592954570024,2.441497778832105
269,1,0,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,2.0825124140450755
270,0,0,0,1,0,0,0,1,0,1,1,0,0,0.5305776754883299,-0.024246350754841113
271,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.6484216535389205
272,1,0,1,1,0,0,0,1,1,0,0,1,0,0.8333990343947157,-0.255795253400548
273,0,0,1,0,1,1,0,0,0,1,1,0,0,0.5397613259094718,-0.05042144409739929
274,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867294,-0.49237782784290063
275,1,1,0,0,1,0,0,1,1,0,1,0,0,2.4484064310635576,0.921244330558889
276,0,0,0,1,0,0,0,1,1,0,0,0,1,1.1270367428799597,-0.49237782784290063
277,0,0,0,1,0,0,0,1,0,1,0,1,0,0.39674636968977994,-0.6484216535389205
278,0,4,1,1,0,0,1,0,0,1,0,0,1,-1.662521487729858,-0.06199888922968463
279,1,1,1,1,0,0,0,1,1,0,0,0,1,0.39294247166684976,-0.24069423801061057
280,0,0,0,1,0,0,1,0,0,1,0,0,1,2.5952252853061797,-0.49237782784290063
281,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.4902797934380587
282,0,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.45714212526638004
283,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.4863374216869257
284,0,0,0,0,1,0,0,1,0,1,1,0,0,2.0624557999241255,-0.12491978668775715
285,0,0,0,1,0,1,0,0,0,1,0,0,1,0.24612361742422778,-0.47400492578514347
286,1,0,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.45714212526638004
287,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4894421904510968
288,1,0,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160267,-0.3866707201133388
289,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5613800809101931,-0.49237782784290063
290,1,0,0,1,0,0,0,1,1,0,1,0,0,-0.26774237242494914,0.9391984311231651
291,1,1,0,0,1,1,0,0,1,0,1,0,0,-0.781608362274126,1.1854295476653287
292,0,0,0,0,1,1,0,0,0,1,0,1,0,0.46635189878816075,-0.3891875560116617
